,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,249,11750000000.000082,0.10358194668185922,0.10358088327067876,3.5366196022272915,5.325681672273712,-2.7738008219888703,-1.25,-1.225466,12.717849,20.811218,20.490755,20.491993,17.210756,18.061197,16.707794,16.624022,12.52001,17.124054,16.641508,16.041313,16.698803,16.033031,15.054493,14.188932,14.069666,14.178308,13.763427,13.581457,14.323978,13.161321,13.3394,11.492339,12.69644,12.379386,12.352365,12.406741,12.131505,11.489529,11.786102,11.797769,11.843556,11.949944,11.976269,11.835647,11.282066,11.287524,11.126886,10.912609,10.732563,10.552669,10.578867,10.397754,10.183318,9.936491,9.895692,9.842639,9.764524,9.803554,9.781861,9.674195,9.658813,9.381268,9.375973,9.137513,9.168524,0.0
1,1,250,11750000000.000082,0.10611700012831018,0.10611588034015806,3.5384895179953872,5.317961328053767,-2.749672922738779,-1.25,-1.225341,12.644541,20.714706,20.413883,20.350437,17.120838,17.933838,16.576399,16.484524,12.446961,16.95331,16.500025,15.909509,16.560534,15.903381,14.95118,14.097198,13.982881,14.084,13.672457,13.491494,14.215055,13.07584,13.250709,11.424189,12.612705,12.294384,12.269657,12.313809,12.055251,11.422754,11.718658,11.728609,11.776168,11.871181,11.891787,11.760256,11.217446,11.222267,11.063981,10.852722,10.673328,10.4942,10.519847,10.340611,10.127831,9.882476,9.841738,9.789064,9.711075,9.750526,9.728541,9.621224,9.606338,9.33109,9.3259,9.08942,9.120419,0.0
2,2,251,11750000000.000082,0.10970149501303242,0.10970029122526365,3.5411345072552494,5.307029399725922,-2.715537255233317,-1.25,-1.22518,12.54142,20.578876,20.303829,20.150845,16.993532,17.756472,16.394115,16.292252,12.344201,16.717987,16.30485,15.726548,16.369074,15.72341,14.806607,13.968507,13.860161,13.952045,13.545452,13.364922,14.063602,12.956293,13.126552,11.328173,12.495066,12.175159,12.153543,12.184448,11.948076,11.32826,11.623282,11.630983,11.680156,11.760303,11.773267,11.653866,11.126653,11.130353,10.975569,10.767878,10.589226,10.410846,10.435961,10.259533,10.049102,9.805791,9.76519,9.713017,9.635187,9.675231,9.653272,9.546098,9.531901,9.259763,9.254728,9.021017,9.052023,0.0
3,3,252,11750000000.000082,0.11321238354136,0.1132110921488794,3.543725911795372,5.296305463949722,-2.682083152737203,-1.25,-1.225016,12.44096,20.446739,20.1945,19.957031,16.868944,17.586222,16.219759,16.109964,12.244092,16.496601,16.120161,15.552847,16.187771,15.551662,14.666797,13.843747,13.740812,13.82445,13.422838,13.241717,13.918269,12.840645,13.006713,11.234512,12.381003,12.060289,12.041006,12.060353,11.843752,11.235857,11.530103,11.535928,11.585484,11.652249,11.658498,11.549955,11.037503,11.040756,10.888632,10.684699,10.506427,10.328369,10.353259,10.179853,9.971667,9.730361,9.689947,9.638238,9.560553,9.601164,9.579209,9.472246,9.458685,9.189394,9.184513,8.953472,8.98453,0.0
4,4,253,11750000000.000082,0.11699306829077356,0.11699167713751872,3.546517561186784,5.284740446940033,-2.6460368392217624,-1.25,-1.224815,12.333308,20.305492,20.075737,19.749226,16.734879,17.406599,16.036556,15.919821,12.13681,16.268158,15.92836,15.371368,15.999158,15.372396,14.518081,13.71045,13.612776,13.688707,13.292643,13.110299,13.765186,12.717516,12.879421,11.133962,12.259585,11.93847,11.921274,11.92937,11.732027,11.135757,11.429229,11.433118,11.482985,11.536478,11.536265,11.43827,10.941093,10.943861,10.794467,10.594447,10.416683,10.238952,10.263796,10.093609,9.887793,9.648623,9.60848,9.557241,9.4797,9.520906,9.498968,9.392491,9.379469,9.112705,9.108015,8.87998,8.91115,0.0
5,5,254,11750000000.000082,0.12073528699966107,0.1207337897832486,3.5492816440414687,5.273259500220683,-2.6103203414788325,-1.25,-1.224623,12.226525,20.166258,19.957897,19.542086,16.601925,17.231632,15.859026,15.736889,12.030389,16.050926,15.745007,15.196518,15.81879,15.199445,14.372105,13.579068,13.4861,13.555457,13.165206,12.980986,13.616709,12.596754,12.754796,11.033916,12.140438,11.819378,11.803831,11.802161,11.621634,11.035652,11.328419,11.330676,11.380946,11.422458,11.416167,11.327738,10.845099,10.847355,10.700549,10.503685,10.327142,10.150308,10.175109,10.007551,9.80406,9.566994,9.527197,9.47639,9.398978,9.440763,9.418849,9.312715,9.300364,9.035891,9.031433,8.806345,8.837698,0.0
6,6,255,11750000000.000082,0.12443103982071388,0.12442943050738396,3.55201231027066,5.261887527200996,-2.5750101370251546,-1.25,-1.224425,12.120931,20.029299,19.840862,19.336853,16.470509,17.061541,15.687279,15.561104,11.925146,15.844869,15.569855,15.028334,15.646311,15.032845,14.229265,13.44992,13.361144,13.424979,13.040709,12.854094,13.472937,12.478516,12.633017,10.934765,12.023814,11.703196,11.688926,11.678715,11.512733,10.935946,11.228081,11.228985,11.279743,11.310502,11.298645,11.218771,10.749853,10.751584,10.607227,10.412882,10.238158,10.062636,10.087402,9.922001,9.720767,9.485758,9.446369,9.395961,9.318665,9.361008,9.339128,9.233181,9.221487,8.95919,8.955008,8.732803,8.7644,0.0
7,7,256,11750000000.000082,0.12808195025778435,0.1280802233651781,3.5547109211653565,5.250625938664482,-2.5400964739834304,-1.25,-1.224237,12.016696,19.894739,19.724228,19.134827,16.340679,16.896059,15.520942,15.391905,11.821236,15.649687,15.402155,14.866359,15.480892,14.872171,14.089546,13.322975,13.237932,13.297057,12.919,12.729071,13.33361,12.362658,12.513939,10.836632,11.909518,11.589794,11.576495,11.558925,11.405593,10.836795,11.128368,11.128163,11.179462,11.200648,11.183779,11.111471,10.655446,10.656651,10.514616,10.322281,10.149834,9.975921,10.000663,9.837065,9.63801,9.405005,9.366077,9.316034,9.238844,9.281721,9.259884,9.153971,9.142921,8.882682,8.878807,8.659425,8.69132,0.0
8,8,257,11750000000.000082,0.13176069479425456,0.13175884268058996,3.557431380006462,5.239251334012607,-2.504884390027581,-1.25,-1.224022,11.91195,19.759872,19.605265,18.932703,16.209963,16.732845,15.357372,15.225489,11.716825,15.46088,15.238825,14.70701,15.318814,14.713888,13.950181,13.195127,13.113825,13.168629,12.797113,12.60388,13.195784,12.246787,12.39464,10.737699,11.795103,11.476729,11.463933,11.440398,11.298137,10.736386,11.027455,11.026338,11.078058,11.090785,11.069416,11.003826,10.560102,10.560781,10.420992,10.230307,10.060527,9.888437,9.913186,9.751172,9.554242,9.323221,9.284804,9.235106,9.158014,9.201408,9.179624,9.073601,9.063194,8.804923,8.801389,8.584831,8.617075,0.0
9,9,258,11750000000.000082,0.13567813979038537,0.13567614379070791,3.5603290020178497,5.22706766270312,-2.4673139565427014,-1.25,-1.223801,11.800564,19.616755,19.476669,18.718437,16.071541,16.56097,15.18555,15.052151,11.605794,15.265146,15.06726,14.541639,15.15002,14.548803,13.803441,13.059571,12.981609,13.033005,12.668269,12.471498,13.051327,12.123634,12.268591,10.632349,11.674266,11.357296,11.345111,11.316371,11.184008,10.629007,10.9196,10.917702,10.969753,10.974672,10.949108,10.889742,10.458358,10.458485,10.320997,10.131783,9.965122,9.795066,9.819864,9.659372,9.464624,9.235682,9.197849,9.148493,9.071498,9.115421,9.093698,8.987418,8.977688,8.721391,8.718247,8.504675,8.537327,0.0
