,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,251,11750000000.000082,0.1035882607025039,0.10358717299275416,3.541780277025509,5.332341252696732,-2.759795558868439,-1.5,-1.475871,12.612727,20.690899,20.37418,20.254719,17.087486,17.852652,16.491787,16.440437,12.415552,17.0072,16.498711,15.902107,16.57542,15.919971,14.898193,14.002646,13.888302,14.015246,13.607063,13.393541,14.140453,13.013809,13.183069,11.401513,12.551856,12.233519,12.210022,12.231352,12.015654,11.392827,11.689034,11.699032,11.73475,11.794222,11.825846,11.705663,11.205032,11.205623,11.054431,10.856362,10.676872,10.499423,10.523684,10.349872,10.139723,9.897053,9.857922,9.805769,9.727697,9.768215,9.745593,9.631284,9.617804,9.33952,9.336728,9.107848,9.139672,0.0
1,1,252,11750000000.000082,0.10631162872034124,0.1063104756534788,3.5439614659762912,5.3240306876071495,-2.733169154469101,-1.5,-1.475717,12.535926,20.585712,20.288591,20.08849,16.98843,17.715014,16.351723,16.292282,12.339039,16.815735,16.34469,15.759689,16.423561,15.779025,14.788587,13.90861,13.798864,13.91745,13.513273,13.30159,14.027033,12.925961,13.091722,11.330041,12.465135,12.146047,12.124528,12.137468,11.936326,11.32234,11.618003,11.626238,11.663738,11.713865,11.738742,11.627134,11.136568,11.137003,10.988355,10.790834,10.613194,10.436559,10.460713,10.288642,10.08018,9.839014,9.799995,9.748213,9.67026,9.711199,9.688658,9.574976,9.56192,9.285967,9.283218,9.056188,9.088042,0.0
2,2,253,11750000000.000082,0.11022814309450844,0.11022689135979628,3.5470996016487883,5.312061843181011,-2.694854703591748,-1.5,-1.475585,12.425072,20.434307,20.162273,19.845821,16.844591,17.518776,16.153063,16.082922,12.228598,16.548044,16.128277,15.558271,16.20986,15.579304,14.631579,13.773117,13.669698,13.77694,13.378992,13.169236,13.865413,12.800018,12.961001,11.226717,12.340849,12.021206,12.002131,12.004026,11.821937,11.219762,11.514502,11.520768,11.560307,11.598231,11.613827,11.513841,11.037548,11.037746,10.892664,10.695938,10.520931,10.345428,10.369546,10.199996,9.994064,9.755105,9.716325,9.665055,9.587263,9.628854,9.606395,9.493515,9.481187,9.208529,9.20589,8.981759,9.013706,0.0
3,3,254,11750000000.000082,0.1140705653469887,0.1140692096060551,3.5501793730415265,5.300287670016657,-2.6572293284453417,-1.5,-1.475361,12.315866,20.285564,20.034279,19.600645,16.701963,17.327808,15.961084,15.881514,12.119796,16.292471,15.921387,15.364212,16.005394,15.38651,14.477966,13.639894,13.542394,13.639192,13.247982,13.039255,13.708459,12.677002,12.833477,11.124765,12.219337,11.899742,11.882599,11.874731,11.709421,11.11847,11.412339,11.416618,11.458061,11.484779,11.491513,11.402297,10.939817,10.939755,10.797739,10.602106,10.429736,10.255454,10.279518,10.112299,9.908943,9.672211,9.633755,9.582963,9.505312,9.547585,9.525177,9.412958,9.4014,9.131887,9.129401,8.908335,8.940434,0.0
4,4,255,11750000000.000082,0.11804124824678253,0.1180397775285632,3.553363134276812,5.288085938424532,-2.6183087444306814,-1.5,-1.475149,12.20266,20.131943,19.897968,19.342178,16.553413,17.132332,15.766016,15.677938,12.007006,16.037041,15.713562,15.16787,15.799679,15.191094,14.319799,13.502037,13.410287,13.497099,13.113371,12.904935,13.548437,12.550415,12.702495,11.018912,12.094352,11.775346,11.759776,11.743033,11.593003,11.013084,11.306107,11.308547,11.351778,11.367709,11.365774,11.28684,10.838453,10.837934,10.698626,10.504403,10.334816,10.161922,10.185918,10.020961,9.820211,9.58592,9.547882,9.49756,9.420039,9.462949,9.440662,9.328987,9.318163,9.051833,9.049551,8.831823,8.86414,0.0
5,5,256,11750000000.000082,0.12209912330018131,0.12209752761443336,3.5566182141203164,5.275584247027613,-2.5784958698717286,-1.5,-1.474892,12.086707,19.974882,19.754528,19.076649,16.400753,16.934593,15.570274,15.474852,11.891481,15.785922,15.507486,14.971884,15.595222,14.99569,14.159354,13.361092,13.274796,13.3524,12.976691,12.767895,13.38721,12.421565,12.569511,10.910354,11.967384,11.649448,11.635116,11.610676,11.474017,10.904649,11.196875,11.197675,11.242536,11.248437,11.238338,11.168887,10.734428,10.733303,10.59639,10.403856,10.237162,10.065815,10.089741,9.92695,9.728822,9.497089,9.459548,9.409676,9.332275,9.375816,9.353663,9.242386,9.232384,8.969048,8.967024,8.752813,8.78541,0.0
6,6,257,11750000000.000082,0.12594330147661076,0.1259415793592342,3.559703122652908,5.263706005126965,-2.540739732920645,-1.5,-1.474666,11.976684,19.826088,19.614706,18.825914,16.255547,16.749435,15.387687,15.287015,11.781862,15.557507,15.317877,14.79058,15.406622,14.814632,14.008577,13.227689,13.146119,13.216011,12.848087,12.638309,13.236725,12.29995,12.444391,10.807249,11.84789,11.531333,11.51791,11.487331,11.361381,10.801248,11.092787,11.092057,11.138483,11.135893,11.118824,11.05734,10.635292,10.63371,10.498774,10.308022,10.144087,9.974316,9.998188,9.837332,9.641641,9.412165,9.375211,9.325759,9.24842,9.292715,9.270471,9.15958,9.150385,8.889802,8.887959,8.677092,8.709999,0.0
7,7,258,11750000000.000082,0.1299830185592955,0.12998115275732214,3.5629461594107923,5.251148705670971,-2.500983401952505,-1.5,-1.474418,11.86093,19.669571,19.463333,18.565052,16.102312,16.557302,15.198902,15.093946,11.666534,15.326866,15.124067,14.604183,15.213032,14.62828,13.851281,13.087464,13.01047,13.073247,12.713623,12.5023,13.080736,12.172469,12.313549,10.698605,11.722996,11.408229,11.395514,11.359653,11.243193,10.691522,10.982352,10.980409,11.028113,11.018082,10.994551,10.940372,10.530583,10.528538,10.395428,10.206717,10.045423,9.877433,9.9014,9.742487,9.549371,9.322214,9.285847,9.236784,9.159546,9.204451,9.182312,9.071481,9.063153,8.805561,8.804069,8.596491,8.629766,0.0
8,8,259,11750000000.000082,0.13407072557520633,0.13406870515513702,3.566229366734541,5.238393151129561,-2.4606991416542368,-1.5,-1.474184,11.743769,19.510729,19.305309,18.305283,15.946951,16.365221,15.01082,14.902731,11.549809,15.103106,14.932796,14.41969,15.021434,14.443329,13.693394,12.945603,12.872846,12.929401,12.578172,12.364897,12.924941,12.043686,12.181736,10.58859,11.597328,11.284609,11.272461,11.232313,11.123857,10.579639,10.869878,10.867007,10.915792,10.899448,10.870283,10.822449,10.423915,10.421625,10.290027,10.103516,9.945335,9.77921,9.802906,9.645964,9.455278,9.230486,9.194831,9.146133,9.068939,9.114552,9.092367,8.981625,8.974047,8.719074,8.717937,8.513874,8.547539,0.0
9,9,260,11750000000.000082,0.13804365060502757,0.13804147008530063,3.569421954056525,5.225944265421641,-2.4214882803991973,-1.5,-1.473916,11.629676,19.355518,19.146591,18.057781,15.795544,16.180321,14.830267,14.720467,11.436139,14.893694,14.751425,14.24337,14.838579,14.266434,13.540903,12.80772,12.738765,12.790066,12.446899,12.231499,12.775057,11.918429,12.053986,10.481416,11.475743,11.165155,11.153498,11.109974,11.007853,10.470119,10.759828,10.756083,10.806062,10.784685,10.750856,10.708314,10.320285,10.31731,10.18774,10.003324,9.847727,9.683403,9.707211,9.552102,9.363699,9.141083,9.10601,9.057642,8.980534,9.026691,9.004594,8.893502,8.886728,8.634059,8.633321,8.432651,8.466681,0.0
10,10,261,11750000000.000082,0.1419516834426489,0.1419493343017564,3.5725635685201973,5.21363177862178,-2.3828462612496057,-1.5,-1.473669,11.517378,19.201504,18.984901,17.819626,15.646044,15.999502,14.65403,14.542946,11.324276,14.691452,14.574347,14.071761,14.660464,14.094167,13.39148,12.671983,12.606425,12.653189,12.317675,12.100283,12.628481,11.794981,11.928289,10.376001,11.356441,11.047885,11.036789,10.990499,10.893987,10.362444,10.651644,10.647201,10.697825,10.672215,10.634461,10.59648,10.218036,10.214776,10.086988,9.904654,9.751335,9.588762,9.612764,9.459494,9.273266,9.052746,9.018226,8.970165,8.89313,8.939801,8.917775,8.806705,8.800537,8.549988,8.549623,8.351944,8.386311,0.0
11,11,262,11750000000.000082,0.14619854302427682,0.14619599811529654,3.5759454531455885,5.200238347830817,-2.341031855080502,-1.5,-1.473335,11.396143,19.033768,18.803728,17.568214,15.483841,15.805199,14.464959,14.352411,11.203522,14.476974,14.384272,13.888325,14.468348,13.90937,13.230515,12.525203,12.463192,12.50557,12.178183,11.958404,12.470865,11.66156,11.79252,10.26251,11.227734,10.92148,10.910985,10.862119,10.771459,10.245928,10.534592,10.529422,10.581089,10.551181,10.509791,10.47611,10.107329,10.103845,9.978168,9.797946,9.646864,9.486113,9.510427,9.3592,9.175251,8.95695,8.922974,8.875225,8.798263,8.845459,8.823493,8.71258,8.706998,8.458677,8.45866,8.263986,8.298666,0.0
