,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,248,11750000000.000082,0.10378021862144653,0.10377922215998542,3.5190280447247813,5.301675336586082,-2.8194621511054176,-0.75,-0.723236,12.958063,21.096567,20.703259,21.064819,17.490608,18.508614,17.166485,17.030773,12.758511,17.634081,17.004738,16.350557,17.013716,16.261112,15.390525,14.600083,14.47387,14.560266,14.133023,14.024243,14.806318,13.505627,13.709548,11.694362,13.056568,12.732434,12.70664,12.825422,12.412177,11.715399,12.013927,12.028305,12.144249,12.418941,12.37786,12.201042,11.438894,11.467626,11.276265,11.023812,10.826303,10.622373,10.66184,10.469742,10.246676,9.989789,9.94233,9.887405,9.809079,9.844381,9.825847,9.738119,9.716812,9.443673,9.433502,9.175398,9.20458,0.0
1,1,249,11750000000.000082,0.10651460594111262,0.10651355487804624,3.521017317105792,5.293821965776614,-2.794021773486811,-0.75,-0.723138,12.882266,21.006207,20.629097,20.941483,17.404982,18.395245,17.049667,16.910414,12.682915,17.488617,16.885912,16.238945,16.89764,16.152927,15.292233,14.505338,14.381437,14.46623,14.040512,13.928681,14.701925,13.416565,13.618082,11.622912,12.968339,12.643509,12.619092,12.729979,12.331499,11.641453,11.939666,11.953029,12.065831,12.328473,12.289176,12.117518,11.37007,11.397747,11.209195,10.959807,10.764185,10.562081,10.600531,10.409859,10.188227,9.932692,9.885708,9.831164,9.752996,9.788653,9.770151,9.681389,9.660907,9.389151,9.379265,9.123575,9.153019,0.0
2,2,250,11750000000.000082,0.11019845473985332,0.11019732600740756,3.5236976927034056,5.283229669226877,-2.75973426765914,-0.75,-0.722988,12.780526,20.884129,20.528831,20.773052,17.289528,18.243214,16.893993,16.750504,12.581445,17.295813,16.728235,16.090424,16.743841,16.008869,15.161152,14.379194,14.258285,14.340834,13.917507,13.801699,14.563538,13.298266,13.496507,11.526967,12.850949,12.525399,12.502654,12.603497,12.224064,11.542674,11.840434,11.852537,11.961672,12.209105,12.170975,12.007104,11.277848,11.304038,11.119102,10.873575,10.680182,10.480707,10.517905,10.32937,10.109455,9.855721,9.8093,9.755234,9.677263,9.713383,9.694917,9.604848,9.585404,9.315424,9.305927,9.053417,9.083216,0.0
3,3,251,11750000000.000082,0.11376636701364529,0.11376515818858396,3.526293701830148,5.272958805096678,-2.7265139704896213,-0.75,-0.722841,12.682258,20.765692,20.431171,20.607595,17.177408,18.096699,16.744253,16.59742,12.483438,17.112293,16.577435,15.947935,16.596931,15.873036,15.03524,14.258262,14.14016,14.220397,13.799734,13.680184,14.431246,13.185137,13.380156,11.434269,12.738494,12.412463,12.391163,12.482781,12.121058,11.447715,11.745011,11.75599,11.862026,12.095547,12.058498,11.901363,11.188943,11.213636,11.032055,10.790028,10.598734,10.401716,10.437973,10.251317,10.033181,9.78112,9.735162,9.681523,9.603727,9.640283,9.621843,9.530587,9.512083,9.24374,9.234622,8.985119,9.015263,0.0
4,4,252,11750000000.000082,0.11761576569839362,0.11761446555802856,3.52909500369552,5.261865168724427,-2.6906584064283408,-0.75,-0.722675,12.57636,20.637478,20.32501,20.426769,17.055897,17.939022,16.583628,16.433491,12.377827,16.915606,16.416983,15.797409,16.441216,15.727732,14.898994,14.128672,14.013561,14.091082,13.673676,13.550694,14.289606,13.064195,13.255686,11.334368,12.618556,12.291761,12.272451,12.353921,12.010975,11.345971,11.64263,11.652404,11.755423,11.974498,11.940078,11.788071,11.093309,11.116349,10.938262,10.699601,10.510927,10.316263,10.35179,10.166954,9.950714,9.700455,9.655013,9.601807,9.524185,9.561203,9.542782,9.450315,9.432764,9.166108,9.1574,8.911074,8.941591,0.0
5,5,253,11750000000.000082,0.12142742328007106,0.12142602625244452,3.531868914543619,5.250857405047692,-2.6551312040145696,-0.75,-0.722503,12.472045,20.511566,20.218864,20.245672,16.934217,17.782808,16.424881,16.27301,12.273791,16.721634,16.260975,15.649195,16.289335,15.583654,14.764151,14.001759,13.890752,13.963222,13.549587,13.425994,14.152017,12.945448,13.134188,11.235894,12.502753,12.175121,12.157716,12.229692,11.904157,11.24614,11.542365,11.550823,11.650301,11.853954,11.821474,11.675285,10.998703,11.020089,10.845361,10.609836,10.42392,10.231348,10.266193,10.083207,9.868833,9.620354,9.575441,9.522643,9.445182,9.482655,9.464239,9.370625,9.353975,9.088932,9.080626,8.837389,8.868277,0.0
6,6,254,11750000000.000082,0.1252109957227622,0.1252094957587416,3.5346224899587124,5.239905398195336,-2.6198400191466287,-0.75,-0.722324,12.369102,20.385525,20.112316,20.064356,16.813211,17.629074,16.26874,16.115162,12.17114,16.529457,16.105499,15.501338,16.138031,15.439738,14.631852,13.877183,13.768428,13.838432,13.429219,13.300018,14.015723,12.830083,13.015169,11.138666,12.386295,12.05971,12.042515,12.106583,11.797361,11.146828,11.442609,11.450245,11.545886,11.73367,11.702161,11.562442,10.904693,10.925055,10.75299,10.520786,10.337237,10.146711,10.180901,9.999822,9.787297,9.540594,9.496223,9.443815,9.366506,9.404431,9.38601,9.291295,9.275322,9.012032,9.004128,8.763909,8.795164,0.0
7,7,255,11750000000.000082,0.1289201014771949,0.12891849432671548,3.5373221176170717,5.22914872548138,-2.5852222237949034,-0.75,-0.722141,12.266485,20.262087,20.007315,19.885681,16.694027,17.478317,16.116247,15.959758,12.068813,16.344692,15.953375,15.35566,15.988461,15.297205,14.502511,13.752278,13.646382,13.713564,13.308187,13.17492,13.878905,12.714458,12.895819,11.04191,12.270652,11.944304,11.928088,11.983636,11.690928,11.048943,11.344277,11.351099,11.44249,11.615499,11.584671,11.451483,10.812266,10.831765,10.662566,10.433374,10.251903,10.063363,10.09691,9.917793,9.707091,9.462148,9.418322,9.366291,9.289124,9.327501,9.309063,9.21313,9.19805,8.936349,8.928835,8.691586,8.7232,0.0
8,8,256,11750000000.000082,0.13267123380472504,0.13266951217428327,3.540052899489249,5.21825044217327,-2.550190203629414,-0.75,-0.721947,12.162102,20.134106,19.89912,19.704647,16.571678,17.322531,15.958334,15.801528,11.964731,16.153946,15.797451,15.208961,15.839067,15.153408,14.368795,13.624878,13.521982,13.586188,13.184873,13.047335,13.738889,12.596422,12.774292,10.943516,12.152954,11.826941,11.811687,11.858502,11.582468,10.949091,11.243781,11.249486,11.337322,11.495247,11.465023,11.338604,10.718777,10.736284,10.57052,10.34468,10.165174,9.978631,10.011562,9.834494,9.625656,9.382522,9.339259,9.287612,9.210588,9.249432,9.230963,9.133833,9.119703,8.859509,8.852399,8.618179,8.649979,0.0
9,9,257,11750000000.000082,0.13665043804273663,0.13664858564654564,3.5429506222589016,5.2066345107503045,-2.512969568066058,-0.75,-0.721739,12.05046,19.99678,19.782507,19.512917,16.440283,17.155487,15.788815,15.629049,11.853419,15.950181,15.627209,15.046566,15.672695,14.99841,14.22514,13.487983,13.388398,13.449073,13.052543,12.910217,13.587945,12.46977,12.643955,10.838346,12.026821,11.701237,11.687002,11.724352,11.466032,10.841565,11.135696,11.140364,11.224631,11.366289,11.336815,11.217716,10.618279,10.634274,10.471974,10.250137,10.072584,9.888109,9.920463,9.745684,9.538783,9.297612,9.254962,9.203728,9.126856,9.166209,9.147697,9.049388,9.036164,8.77761,8.770932,8.5398,8.572036,0.0
