,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
315,315,566,11750000000.000082,0.806961761639547,0.7988581674416722,3.674562414514696,1.4921325049502672,2.4996834854562167,-2.0,-1.990706,-1.098438,4.679504,3.901561,2.218889,1.912829,1.364821,0.26774,0.131508,-1.268229,-0.278989,0.288229,0.0548,0.422943,0.075603,-0.138895,-0.535423,-0.540627,-0.602916,-0.73991,-0.97531,-0.791566,-1.116048,-1.008799,-1.968196,-1.354139,-1.555584,-1.555006,-1.597359,-1.6611,-2.054665,-1.822739,-1.840746,-1.765647,-1.793483,-1.835879,-1.851122,-2.082808,-2.085247,-2.163203,-2.296842,-2.378854,-2.503266,-2.465276,-2.576639,-2.724766,-2.903223,-2.926866,-2.97136,-3.046124,-2.996317,-3.022535,-3.130451,-3.133677,-3.372185,-3.359059,-3.508871,-3.474602,2.0
316,316,567,11750000000.000082,0.806972757354783,0.7986228113393211,3.6734412209192993,1.468901265720392,2.518299622602885,-2.0,-1.990567,-1.140101,4.694367,3.926847,2.231964,1.899853,1.360039,0.255703,0.118302,-1.310534,-0.299345,0.26764,0.030401,0.401731,0.04837,-0.169291,-0.5708,-0.576052,-0.63888,-0.777448,-1.012166,-0.829223,-1.156472,-1.048518,-2.01444,-1.396437,-1.599081,-1.598565,-1.64108,-1.705245,-2.099773,-1.867334,-1.885264,-1.81039,-1.838498,-1.881139,-1.896372,-2.129683,-2.132131,-2.210289,-2.344155,-2.42742,-2.552305,-2.514525,-2.626351,-2.77518,-2.954337,-2.978068,-3.022682,-3.097541,-3.047806,-3.074141,-3.182508,-3.185874,-3.425508,-3.412391,-3.563136,-3.528828,2.0
317,317,568,11750000000.000082,0.8069833917540488,0.7983776559131169,3.6723142766905994,1.4455908076798287,2.536966424671271,-2.0,-1.990429,-1.181807,4.70853,3.952517,2.245804,1.886633,1.355734,0.244205,0.105641,-1.352875,-0.319284,0.247505,0.006347,0.380878,0.021418,-0.199468,-0.60605,-0.611347,-0.674742,-0.814926,-1.04891,-0.866802,-1.196871,-1.088203,-2.06072,-1.438746,-1.642607,-1.642155,-1.684834,-1.749429,-2.144931,-1.911975,-1.929826,-1.855184,-1.883568,-1.926457,-1.941679,-2.176567,-2.179028,-2.257455,-2.391602,-2.476101,-2.601484,-2.5639,-2.676179,-2.825719,-3.005583,-3.029404,-3.074137,-3.149092,-3.099432,-3.125884,-3.234706,-3.238216,-3.478987,-3.465879,-3.617566,-3.583222,2.0
318,318,569,11750000000.000082,0.8069937118640766,0.7981218481678057,3.6711762809359616,1.4222428667099507,2.5556205363762694,-2.0,-1.99029,-1.223372,4.722263,3.978874,2.260735,1.873423,1.352185,0.233511,0.093786,-1.395072,-0.338546,0.228079,-0.017115,0.360641,-0.005011,-0.229197,-0.640962,-0.646304,-0.710296,-0.852145,-1.085342,-0.9041,-1.237054,-1.12766,-2.106875,-1.480884,-1.685984,-1.685598,-1.728442,-1.793477,-2.189967,-1.956488,-1.974257,-1.899854,-1.92852,-1.971663,-1.986872,-2.2233,-2.225779,-2.304538,-2.439023,-2.524739,-2.650643,-2.613246,-2.725973,-2.876235,-3.056817,-3.080731,-3.125585,-3.200635,-3.151054,-3.177625,-3.28691,-3.290565,-3.532493,-3.519393,-3.672037,-3.637659,2.0
319,319,570,11750000000.000082,0.8070036845632618,0.7978560516322045,3.670020718586751,1.3988621386714812,2.5742315562218163,-2.0,-1.990337,-1.264691,4.735737,4.006122,2.277013,1.860371,1.349608,0.223822,0.082936,-1.437018,-0.356936,0.20953,-0.039815,0.341176,-0.030739,-0.258315,-0.67539,-0.680776,-0.745402,-0.888974,-1.121323,-0.940984,-1.276899,-1.166766,-2.152821,-1.522741,-1.729106,-1.728789,-1.771802,-1.837289,-2.234786,-2.000775,-2.018461,-1.944303,-1.973259,-2.016662,-2.031858,-2.269804,-2.272302,-2.351459,-2.486341,-2.573261,-2.699707,-2.662493,-2.775668,-2.92667,-3.107984,-3.131993,-3.17697,-3.252117,-3.202617,-3.22931,-3.339067,-3.342872,-3.585984,-3.572892,-3.726513,-3.692102,2.0
320,320,571,11750000000.000082,0.8070133350652883,0.7975806139339033,3.66888918185568,1.3756188378201362,2.592795997954328,-2.0,-1.990198,-1.30593,4.747384,4.0324,2.293076,1.846657,1.346867,0.214185,0.072164,-1.478866,-0.375236,0.191086,-0.062436,0.321778,-0.056378,-0.287352,-0.709713,-0.715141,-0.780419,-0.92572,-1.157189,-0.977759,-1.316629,-1.205764,-2.198593,-1.564478,-1.772098,-1.771851,-1.81503,-1.880966,-2.279452,-2.044923,-2.062524,-1.988614,-2.017857,-2.061517,-2.0767,-2.316095,-2.318616,-2.398217,-2.533525,-2.621598,-2.748564,-2.711551,-2.825162,-2.976893,-3.158929,-3.183031,-3.22813,-3.30337,-3.253953,-3.280766,-3.390987,-3.39494,-3.639218,-3.626133,-3.780717,-3.746277,2.0
321,321,572,11750000000.000082,0.8070226850825329,0.7972926048279337,3.6677317023022686,1.352202923241979,2.6114220326311055,-2.0,-1.990152,-1.347141,4.75887,4.059761,2.310697,1.833104,1.345161,0.205572,0.062407,-1.520688,-0.392689,0.173482,-0.084365,0.303121,-0.081405,-0.315901,-0.743715,-0.749186,-0.815155,-0.962259,-1.192781,-1.0143,-1.356225,-1.24461,-2.244414,-1.606153,-1.815065,-1.814891,-1.85824,-1.924642,-2.324144,-2.089082,-2.106597,-2.032943,-2.062483,-2.106409,-2.121578,-2.362422,-2.364968,-2.445075,-2.580865,-2.670081,-2.797587,-2.760779,-2.874838,-3.02732,-3.210098,-3.234297,-3.279521,-3.354854,-3.305524,-3.332461,-3.44316,-3.447267,-3.692749,-3.67967,-3.835245,-3.800777,2.0
322,322,573,11750000000.000082,0.8070317337029298,0.7969939237897937,3.6665817353167145,1.3288765493657286,2.6299827050148297,-2.0,-1.989967,-1.388153,4.76914,4.08683,2.328769,1.819287,1.343782,0.197434,0.053141,-1.562299,-0.40967,0.156347,-0.105892,0.284886,-0.106036,-0.344106,-0.77741,-0.782923,-0.849607,-0.998541,-1.228075,-1.050554,-1.395564,-1.283199,-2.290003,-1.647591,-1.857799,-1.857699,-1.901218,-1.968088,-2.368605,-2.133013,-2.15044,-2.077046,-2.106886,-2.151079,-2.166234,-2.408492,-2.411064,-2.491722,-2.628069,-2.718374,-2.846422,-2.80979,-2.924294,-3.077535,-3.261053,-3.285351,-3.330698,-3.406124,-3.356883,-3.383944,-3.495119,-3.499383,-3.746069,-3.732996,-3.889564,-3.855071,2.0
323,323,574,11750000000.000082,0.8070404623196261,0.7966844198833718,3.6654249561877825,1.305551313682218,2.648508895871621,-2.0,-1.989967,-1.428977,4.778545,4.11401,2.347698,1.805367,1.343016,0.190015,0.044599,-1.603715,-0.425987,0.139828,-0.126869,0.267195,-0.130125,-0.371854,-0.810719,-0.816274,-0.883713,-1.034524,-1.263014,-1.086477,-1.434629,-1.321506,-2.33542,-1.688798,-1.900319,-1.900297,-1.943986,-2.011334,-2.412874,-2.176751,-2.194088,-2.12096,-2.151104,-2.195569,-2.210709,-2.45437,-2.456972,-2.538227,-2.675195,-2.766535,-2.895118,-2.858678,-2.973643,-3.12765,-3.311917,-3.336314,-3.381785,-3.457305,-3.408155,-3.435341,-3.546999,-3.551423,-3.79933,-3.786263,-3.943836,-3.909319,2.0
324,324,575,11750000000.000082,0.8070489587648529,0.796360160610678,3.664258116072872,1.2821007330508256,2.667111788936704,-2.0,-1.989967,-1.469872,4.787065,4.141349,2.367527,1.791243,1.342796,0.183215,0.036678,-1.645198,-0.441769,0.123802,-0.147459,0.249934,-0.153853,-0.399349,-0.843876,-0.849473,-0.917705,-1.07045,-1.297837,-1.122308,-1.473673,-1.359783,-2.380943,-1.730036,-1.942893,-1.94295,-1.986812,-2.054649,-2.457225,-2.220564,-2.23781,-2.164955,-2.19541,-2.240152,-2.255277,-2.500343,-2.502975,-2.584874,-2.722517,-2.814833,-2.943953,-2.907727,-3.023192,-3.177958,-3.362985,-3.387482,-3.433081,-3.508694,-3.459638,-3.486951,-3.599098,-3.603687,-3.852837,-3.839775,-3.998372,-3.963834,2.0
