,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,251,11750000000.000082,0.10609609077775443,0.10609494084946994,3.5458239570741905,5.327382812314006,-2.729830428479308,-1.75,-1.725998,12.491881,20.514194,20.216082,19.873482,16.914734,17.584993,16.228706,16.189339,12.295513,16.682716,16.236496,15.661533,16.320778,15.696493,14.709227,13.820086,13.724245,13.829363,13.438366,13.214828,13.886752,12.863339,13.019106,11.296849,12.398864,12.082382,12.062054,12.048822,11.889222,11.297745,11.592218,11.597621,11.633801,11.648352,11.658745,11.571017,11.114414,11.11239,10.966549,10.77149,10.59608,10.422384,10.44325,10.274723,10.07031,9.832834,9.794934,9.743884,9.665577,9.708736,9.684023,9.57117,9.5597,9.287868,9.285817,9.064749,9.095987,0.0
1,1,252,11750000000.000082,0.1089978872913624,0.10899666627759114,3.5482946615999174,5.318576638217515,-2.7009219801306825,-1.75,-1.725853,12.409845,20.399723,20.11636,19.675629,16.804985,17.436249,16.080038,16.031773,12.213789,16.47982,16.072069,15.508839,16.157953,15.544136,14.591822,13.720881,13.629191,13.725998,13.33978,13.118666,13.769065,12.770853,12.923325,11.221879,12.30799,11.991344,11.972657,11.953405,11.804892,11.22358,11.51734,11.520606,11.559604,11.565052,11.568409,11.488218,11.041827,11.039906,10.894833,10.700044,10.527036,10.354184,10.375036,10.208365,10.006034,9.770361,9.73265,9.681938,9.603746,9.647313,9.622768,9.510425,9.499537,9.230085,9.228142,9.009274,9.040602,0.0
2,2,253,11750000000.000082,0.11211556009457832,0.11211425773031906,3.5509499717837705,5.309093993822337,-2.6698383802949817,-1.75,-1.72569,12.321062,20.276516,20.003273,19.458324,16.685574,17.277042,15.921978,15.865446,12.12534,16.26787,15.900109,15.347872,15.987627,15.383189,14.465758,13.613441,13.525935,13.614658,13.233901,13.014592,13.643937,12.671327,12.820443,11.139962,12.210226,11.893735,11.876537,11.851425,11.71367,11.142004,11.435075,11.436443,11.477766,11.474981,11.471228,11.398583,10.962708,10.960607,10.816937,10.622807,10.452197,10.280333,10.301244,10.136444,9.936287,9.702504,9.665067,9.614703,9.536628,9.580642,9.55628,9.444325,9.434064,9.167024,9.165237,8.948866,8.980354,0.0
3,3,254,11750000000.000082,0.11530350754495251,0.1153021169860862,3.553666145757981,5.299378915504748,-2.6380314093962998,-1.75,-1.725517,12.229713,20.15028,19.881718,19.232788,16.562145,17.115189,15.762309,15.698658,12.034335,16.058031,15.7293,15.186758,15.818298,15.221782,14.337172,13.502837,13.419299,13.500687,13.125782,12.907538,13.517517,12.569448,12.715364,11.054956,12.110263,11.79425,11.778313,11.747904,11.619895,11.05676,11.349203,11.349041,11.392286,11.382445,11.371997,11.306401,10.880706,10.8784,10.736451,10.543339,10.375048,10.204268,10.225326,10.062305,9.864294,9.632386,9.595297,9.545273,9.467307,9.51176,9.487612,9.375891,9.366265,9.101538,9.099955,8.886247,8.917968,0.0
4,4,255,11750000000.000082,0.11835231229402308,0.11835083219572474,3.5562646459907192,5.290068428456332,-2.607589760706199,-1.75,-1.725294,12.141921,20.029236,19.7603,19.015394,16.443075,16.96151,15.611518,15.542244,11.946874,15.863983,15.570518,15.035984,15.660675,15.070468,14.21463,13.396502,13.316465,13.391702,13.022585,12.804703,13.398123,12.471952,12.615046,10.972695,12.014771,11.699482,11.684541,11.649739,11.529879,10.973714,11.265619,11.264319,11.309047,11.293687,11.277439,11.217914,10.801384,10.798859,10.65876,10.466899,10.300748,10.131084,10.15234,9.990907,9.794862,9.564695,9.527992,9.47828,9.400411,9.445291,9.421342,9.309704,9.300694,9.038021,9.036669,8.82559,8.857588,0.0
5,5,256,11750000000.000082,0.12138722271285753,0.12138564758919572,3.5588521631095364,5.2807703604639515,-2.5772534043853415,-1.75,-1.725218,12.054163,19.90823,19.634727,18.798525,16.323679,16.809574,15.46319,15.389375,11.859447,15.677086,15.416527,14.888929,15.507523,14.922674,14.093109,13.290171,13.21336,13.283253,12.920032,12.701958,13.280577,12.37482,12.515336,10.890038,11.919847,11.605509,11.591386,11.552845,11.440027,10.889775,11.181192,11.179041,11.22494,11.205163,11.183744,11.129611,10.721658,10.718897,10.580776,10.390377,10.226318,10.057835,10.079335,9.919382,9.725213,9.496756,9.460475,9.411057,9.333282,9.378569,9.354839,9.243146,9.234742,8.974073,8.972895,8.764487,8.796808,0.0
6,6,257,11750000000.000082,0.12464741760574076,0.12464573403495038,3.561633049142044,5.270745970170875,-2.544623863435553,-1.75,-1.724918,11.959608,19.777515,19.495193,18.566698,16.194702,16.647659,15.305839,15.228117,11.765252,15.482702,15.255203,14.734133,15.346693,14.766887,13.963202,13.175611,13.101984,13.166927,12.810127,12.59135,13.155732,12.270452,12.408464,10.800643,11.818133,11.505032,11.491635,11.449755,11.343383,10.798509,11.089455,11.086576,11.133538,11.110048,11.083759,11.034697,10.635328,10.632304,10.496408,10.307759,10.145942,9.978784,10.000581,9.842132,9.649889,9.42322,9.387435,9.338324,9.26064,9.306369,9.282855,9.171028,9.16325,8.904713,8.903821,8.698115,8.73082,0.0
7,7,258,11750000000.000082,0.12785937471196787,0.12785757784439927,3.5643740711444902,5.260840028110019,-2.512442119321156,-1.75,-1.724714,11.866257,19.647713,19.353413,18.340578,16.067045,16.489372,15.15258,15.071886,11.67226,15.297091,15.099751,14.584418,15.191278,14.616046,13.835846,13.062495,12.991776,13.052499,12.702081,12.482224,13.033873,12.167606,12.303394,10.71221,11.718211,11.406512,11.39372,11.349147,11.248153,10.707824,10.998323,10.994718,11.042651,11.016431,10.985989,10.94126,10.549734,10.546353,10.412846,10.226017,10.066418,9.900602,9.922732,9.765715,9.575191,9.350334,9.315069,9.266247,9.188643,9.234802,9.211489,9.099459,9.092287,8.835769,8.835183,8.632112,8.665212,0.0
8,8,259,11750000000.000082,0.1309279393775826,0.13092602764288447,3.5669938461675015,5.251345317317441,-2.481661596992677,-1.75,-1.724512,11.776979,19.52248,19.214443,18.127798,15.944679,16.339205,15.007566,14.924646,11.583333,15.124636,14.953724,14.443472,15.044849,14.473914,13.714725,12.954315,12.886209,12.943354,12.599051,12.377928,12.918229,12.06935,12.203208,10.627629,11.623044,11.312821,11.300541,11.253859,11.157271,10.620634,10.910707,10.906617,10.955281,10.927187,10.893312,10.852191,10.467607,10.464022,10.33272,10.147713,9.990149,9.825642,9.848129,9.692458,9.503542,9.280333,9.245606,9.197051,9.119497,9.166086,9.142907,9.030633,9.024131,8.769456,8.769178,8.56867,8.602232,0.0
9,9,260,11750000000.000082,0.13418652760455688,0.13418448506692604,3.5697771157926175,5.241193243267088,-2.448900529837898,-1.75,-1.724342,11.682104,19.387714,19.063499,17.906219,15.814316,16.180588,14.854648,14.769718,11.488839,14.946026,14.800119,14.295238,14.89042,14.324339,13.586492,12.839335,12.773902,12.827509,12.489709,12.267134,12.795743,11.964955,12.096899,10.537924,11.522214,11.213666,11.201904,11.153339,11.060893,10.527879,10.817525,10.813012,10.862499,10.832633,10.795582,10.757845,10.380227,10.376476,10.247372,10.064248,9.908879,9.745752,9.768584,9.614394,9.42717,9.205663,9.171459,9.123181,9.045696,9.092768,9.069708,8.957253,8.951284,8.698589,8.698687,8.500931,8.53487,0.0
