,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,248,11750000000.000082,0.10474163291336087,0.10474067254645356,3.5045212688961747,5.279103552612752,-2.851531336204757,-0.5,-0.470561,13.221801,21.374165,20.905613,21.50391,17.756784,18.938686,17.627127,17.482086,13.02053,18.141863,17.419189,16.714483,17.406612,16.565058,15.775301,15.1049,14.97566,15.006716,14.600995,14.583534,15.41326,13.963673,14.185255,11.916236,13.52194,13.204951,13.171522,13.353203,12.816572,12.066195,12.361038,12.376652,12.619941,13.093259,12.844784,12.688405,11.631813,11.677518,11.440492,11.126904,10.90749,10.671732,10.727292,10.519401,10.287943,10.020484,9.965244,9.906494,9.82638,9.858804,9.841517,9.791203,9.757488,9.492417,9.476952,9.194042,9.217415,0.0
1,1,249,11750000000.000082,0.10798225955263376,0.10798123519205688,3.5070650216122443,5.270395355109597,-2.8212353380252524,-0.5,-0.470442,13.123844,21.258577,20.813103,21.362713,17.648022,18.790485,17.471828,17.3218,12.922869,17.951263,17.258858,16.564417,17.248209,16.420597,15.639916,14.968677,14.842304,14.874687,14.469365,14.443157,15.258602,13.835749,14.054739,11.824649,13.396349,13.077813,13.046726,13.215604,12.699613,11.960135,12.255,12.269151,12.502435,12.953859,12.721339,12.567416,11.541641,11.587107,11.35542,11.047284,10.83149,10.599685,10.652843,10.447729,10.218338,9.952933,9.89838,9.840396,9.760622,9.793623,9.776249,9.722591,9.690833,9.427532,9.412572,9.133747,9.157539,0.0
2,2,250,11750000000.000082,0.11238791330484094,0.11238679712096011,3.5105263013479,5.2585446813872405,-2.7800237896489475,-0.5,-0.470283,12.991168,21.10191,20.687096,21.166164,17.500326,18.591097,17.26383,17.107435,12.790589,17.695904,17.046371,16.364727,17.039064,16.227871,15.459222,14.787132,14.664548,14.697529,14.293823,14.256475,15.053561,13.665445,13.880697,11.700591,13.228613,12.908257,12.880094,13.032322,12.543994,11.818645,12.113443,12.125766,12.34603,12.768354,12.555687,12.405566,11.420206,11.46494,11.240236,10.939264,10.728231,10.50162,10.551699,10.350132,10.12345,9.860754,9.807163,9.750135,9.670789,9.704531,9.687042,9.629092,9.599778,9.338699,9.324403,9.0509,9.075224,0.0
3,3,251,11750000000.000082,0.11712737774708146,0.11712615592014523,3.5142541407123886,5.245778822005331,-2.735655220130424,-0.5,-0.470089,12.848914,20.933651,20.551342,20.948988,17.341356,18.37874,17.043449,16.88073,12.648762,17.425364,16.821949,16.153934,16.819267,16.024498,15.268534,14.595956,14.477343,14.510458,14.108829,14.060352,14.838601,13.486345,13.697315,11.567579,13.05156,12.729607,12.704268,12.839472,12.380435,11.669535,11.964145,11.974688,12.181621,12.573314,12.379833,12.234406,11.290866,11.334336,11.116822,10.823519,10.617155,10.39587,10.442892,10.244902,10.02103,9.761154,9.70864,9.652542,9.573613,9.608104,9.590497,9.528363,9.50136,9.242334,9.228742,8.960668,8.985662,0.0
4,4,252,11750000000.000082,0.1216290592314158,0.12162772989034112,3.5177992566934515,5.233636871347145,-2.6934788839714647,-0.5,-0.4699,12.714112,20.773705,20.421999,20.737608,17.190037,18.178587,16.836723,16.668486,12.514364,17.171835,16.612099,15.956375,16.614208,15.834361,15.090273,14.417665,14.302755,14.335675,13.93622,13.877842,14.638986,13.319568,13.526253,11.441541,12.886137,12.562998,12.540058,12.659859,12.228174,11.530399,11.824741,11.833749,12.028607,12.391763,12.214635,12.074214,11.16904,11.210924,10.999964,10.714188,10.511605,10.295113,10.339525,10.1447,9.923418,9.666151,9.614703,9.559406,9.480839,9.516004,9.498287,9.432674,9.40767,9.150126,9.137208,8.874058,8.899723,0.0
5,5,253,11750000000.000082,0.12591585430529245,0.12591441564536676,3.5211792992368807,5.222058536912899,-2.653283251203713,-0.5,-0.46971,12.585935,20.620232,20.298208,20.532238,17.045481,17.989046,16.641743,16.468687,12.386573,16.933172,16.414761,15.770259,16.421713,15.655443,14.922541,14.250341,14.138912,14.171496,13.7742,13.706877,14.45246,13.163291,13.365731,11.321699,12.730704,12.406723,12.385831,12.491601,12.085496,11.399769,11.693789,11.701456,11.885315,12.221765,12.058688,11.923487,11.05378,11.093865,10.888927,10.610209,10.410872,10.198831,10.241003,10.04904,9.830166,9.575464,9.524943,9.470345,9.392093,9.427874,9.410054,9.341311,9.318064,9.061771,9.049491,8.790862,8.817183,0.0
6,6,254,11750000000.000082,0.13059813989830577,0.13059657293827098,3.524878245658955,5.209375595566243,-2.6093145814830687,-0.5,-0.469492,12.445989,20.45203,20.162296,20.304033,16.886864,17.782803,16.430336,16.252489,12.247051,16.675198,16.201427,15.569545,16.21389,15.461737,14.741023,14.069682,13.962021,13.994036,13.599295,13.522609,14.251793,12.994844,13.192508,11.190852,12.56279,12.238188,12.219298,12.310392,11.931645,11.258664,11.552279,11.558599,11.730965,12.038761,11.889525,11.760471,10.928465,10.96634,10.767758,10.496614,10.300292,10.093182,10.133162,9.9444,9.728099,9.476003,9.426513,9.37262,9.294683,9.331117,9.313185,9.241173,9.219723,8.964654,8.95307,8.699234,8.726278,0.0
7,7,255,11750000000.000082,0.1352525810428836,0.13525087781530748,3.5285612463944847,5.196740685527454,-2.56555580206386,-0.5,-0.469265,12.306952,20.284325,20.025974,20.074306,16.728445,17.578545,16.221609,16.039486,12.108438,16.421669,15.991738,15.371681,16.010702,15.270584,14.560482,13.891868,13.787913,13.819243,13.427243,13.341547,14.054992,12.829355,13.022182,11.060842,12.397543,12.072616,12.055495,12.132648,11.780374,11.119683,11.412859,11.417946,11.57942,11.859346,11.722483,11.599915,10.804375,10.839879,10.647408,10.383121,10.190398,9.987667,10.02592,9.840099,9.626308,9.376764,9.32832,9.275076,9.197428,9.234495,9.216452,9.141329,9.121532,8.867584,8.856693,8.607505,8.635272,0.0
8,8,256,11750000000.000082,0.13967702703627596,0.13967518524854405,3.532068320782219,5.184703184874944,-2.523908141417131,-0.5,-0.469035,12.174859,20.125019,19.895157,19.854362,16.576138,17.385063,16.024368,15.838619,11.976751,16.183523,15.795181,15.184822,15.819466,15.089853,14.389593,13.724091,13.623617,13.654267,13.265066,13.170971,13.869942,12.673498,12.861701,10.937293,12.24177,11.916778,11.901159,11.965641,11.637733,10.98841,11.281149,11.285152,11.43677,11.690879,11.564651,11.448497,10.686717,10.719884,10.533041,10.275358,10.0859,9.886889,9.923773,9.740674,9.529243,9.282106,9.23467,9.182004,9.10461,9.142273,9.124124,9.046155,9.027575,8.774885,8.764659,8.51981,8.548258,0.0
9,9,257,11750000000.000082,0.1440458848139048,0.14404389675901552,3.535538449820289,5.172781037629197,-2.48271939896192,-0.5,-0.468793,12.04448,19.967863,19.764725,19.636395,16.425266,17.194691,15.830627,15.642603,11.846774,15.951338,15.602586,15.001236,15.632019,14.912064,14.222639,13.55925,13.46216,13.492161,13.105958,13.003631,13.688495,12.520653,12.704326,10.815302,12.088982,11.764138,11.749854,11.802375,11.497627,10.859239,11.151547,11.154556,11.296926,11.526327,11.409669,11.299982,10.570667,10.601522,10.420073,10.168767,9.982524,9.786875,9.822585,9.642196,9.433082,9.188314,9.141879,9.089758,9.0126,9.050844,9.032592,8.951567,8.934391,8.682777,8.673247,8.432806,8.461832,0.0
10,10,258,11750000000.000082,0.14992449291976015,0.14992233476015823,3.538878112738808,5.160337886062789,-2.4392587789536018,-0.5,-0.468568,11.909643,19.80677,19.628714,19.417622,16.270737,17.002483,15.635376,15.445574,11.712326,15.720818,15.408596,14.815473,15.442831,14.731647,14.052839,13.391656,13.297797,13.32645,12.9441,12.833858,13.504258,12.364834,12.54421,10.688491,11.933289,11.608768,11.595655,11.6371,11.35377,10.725738,11.017635,11.019735,11.15372,11.360147,11.251825,11.148487,10.449594,10.478288,10.301881,10.056495,9.873432,9.680729,9.715425,9.537703,9.330818,9.088335,9.042862,8.991245,8.914303,8.953109,8.934752,8.850864,8.835211,8.584813,8.575994,8.33935,8.36914,0.0
