,index,EEP,isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],WFC3_UVIS_F200LP,WFC3_UVIS_F218W,WFC3_UVIS_F225W,WFC3_UVIS_F275W,WFC3_UVIS_F280N,WFC3_UVIS_F300X,WFC3_UVIS_F336W,WFC3_UVIS_F343N,WFC3_UVIS_F350LP,WFC3_UVIS_F373N,WFC3_UVIS_F390M,WFC3_UVIS_F390W,WFC3_UVIS_F395N,WFC3_UVIS_F410M,WFC3_UVIS_F438W,WFC3_UVIS_F467M,WFC3_UVIS_F469N,WFC3_UVIS_F475W,WFC3_UVIS_F475X,WFC3_UVIS_F487N,WFC3_UVIS_F502N,WFC3_UVIS_F547M,WFC3_UVIS_F555W,WFC3_UVIS_F600LP,WFC3_UVIS_F606W,WFC3_UVIS_F621M,WFC3_UVIS_F625W,WFC3_UVIS_F631N,WFC3_UVIS_F645N,WFC3_UVIS_F656N,WFC3_UVIS_F657N,WFC3_UVIS_F658N,WFC3_UVIS_F665N,WFC3_UVIS_F673N,WFC3_UVIS_F680N,WFC3_UVIS_F689M,WFC3_UVIS_F763M,WFC3_UVIS_F775W,WFC3_UVIS_F814W,WFC3_UVIS_F845M,WFC3_UVIS_F850LP,WFC3_UVIS_F953N,WFC3_IR_F098M,WFC3_IR_F105W,WFC3_IR_F110W,WFC3_IR_F125W,WFC3_IR_F126N,WFC3_IR_F127M,WFC3_IR_F128N,WFC3_IR_F130N,WFC3_IR_F132N,WFC3_IR_F139M,WFC3_IR_F140W,WFC3_IR_F153M,WFC3_IR_F160W,WFC3_IR_F164N,WFC3_IR_F167N,phase
0,0,248,11750000000.000082,0.10274736870369149,0.10274635276433322,3.5289093355259755,5.318766512457144,-2.800665810241026,-1.0,-0.974699,12.868555,21.006165,20.631207,20.82062,17.39806,18.378857,17.045061,16.941891,12.669772,17.459715,16.93721,16.302877,16.972357,16.258783,15.286469,14.436555,14.305124,14.416572,13.992618,13.841866,14.630151,13.373276,13.565754,11.620183,12.908739,12.593155,12.561007,12.670041,12.296162,11.618924,11.917491,11.932549,11.999413,12.19795,12.209552,12.035151,11.388227,11.402252,11.224033,10.991776,10.797644,10.605068,10.641009,10.454202,10.237062,9.987,9.944194,9.890135,9.811859,9.848607,9.828501,9.728643,9.710926,9.435641,9.428384,9.182188,9.212692,0.0
1,1,249,11750000000.000082,0.10486459018135988,0.1048635314971095,3.5304199755028147,5.312439536880829,-2.7808398858824344,-1.0,-0.974624,12.803474,20.922352,20.566519,20.705429,17.319872,18.265972,16.927279,16.818287,12.604905,17.32143,16.816536,16.189795,16.855131,16.148766,15.195387,14.35357,14.226276,14.332308,13.910731,13.759743,14.532112,13.295896,13.485458,11.559931,12.833465,12.515722,12.486638,12.583949,12.228762,11.559875,11.857751,11.871116,11.937699,12.123196,12.134147,11.966047,11.331047,11.344364,11.168977,10.939503,10.747093,10.55645,10.591063,10.405965,10.189917,9.94087,9.898173,9.844449,9.766304,9.803486,9.783361,9.683268,9.666085,9.392315,9.385143,9.140749,9.171367,0.0
2,2,250,11750000000.000082,0.10817261398717204,0.10817148526731654,3.5327810618648403,5.302545130479896,-2.7498510082656296,-1.0,-0.974487,12.703262,20.791309,20.465183,20.525051,17.198202,18.091585,16.745153,16.630394,12.505017,17.107813,16.632002,16.016802,16.674986,15.979259,15.053379,14.226624,14.106344,14.201998,13.784708,13.633499,14.383266,13.177042,13.362768,11.467069,12.717611,12.398319,12.37199,12.453897,12.1246,11.468246,11.765287,11.776707,11.841974,12.007993,12.015404,11.859151,11.242229,11.254501,11.08334,10.858038,10.6679,10.48051,10.512954,10.33034,10.11634,9.868867,9.826355,9.773127,9.695175,9.733017,9.712856,9.612429,9.596059,9.324606,9.317581,9.075981,9.106769,0.0
3,3,251,11750000000.000082,0.11134766699308822,0.11134646699297066,3.5350472247589657,5.293039524543794,-2.7200989247135503,-1.0,-0.974359,12.607605,20.668259,20.367762,20.352962,17.0818,17.92897,16.575764,16.455469,12.409677,16.906366,16.458927,15.854204,16.506006,15.819867,14.919687,14.10618,13.990644,14.080311,13.666598,13.512139,14.242002,13.065322,13.246473,11.378209,12.606602,12.285666,12.262224,12.32977,12.024727,11.379933,11.676149,11.68596,11.750979,11.899168,11.903101,11.757793,11.157689,11.169527,11.0019,10.780105,10.592559,10.407607,10.438534,10.258137,10.045575,9.799873,9.757449,9.704754,9.627004,9.665425,9.645254,9.544539,9.528924,9.259605,9.252766,9.013822,9.044765,0.0
4,4,252,11750000000.000082,0.11452379327682324,0.11452251765169776,3.5373140970683927,5.283518933209461,-2.6903252445429007,-1.0,-0.974208,12.512735,20.547453,20.270134,20.180996,16.967163,17.771271,16.412689,16.285252,12.315114,16.709044,16.290302,15.695445,16.341291,15.66416,14.789588,13.986976,13.876534,13.959432,13.549691,13.392918,14.103765,12.954669,13.131847,11.289969,12.497478,12.175306,12.154367,12.20822,11.926209,11.292324,11.587747,11.5959,11.660794,11.792049,11.792492,11.65764,11.073902,11.084604,10.920604,10.702024,10.517561,10.334598,10.364249,10.186038,9.975047,9.730634,9.688451,9.636134,9.558594,9.597569,9.577688,9.476738,9.461878,9.19458,9.187967,8.951654,8.982753,0.0
5,5,253,11750000000.000082,0.11802221134964767,0.11802084721185514,3.5398111675436583,5.273012743155062,-2.657510142256148,-1.0,-0.974054,12.409385,20.415352,20.162685,19.992771,16.842192,17.600409,16.236521,16.105522,12.212107,16.500137,16.111965,15.527441,16.166656,15.497393,14.649135,13.8581,13.75285,13.828375,13.423243,13.264184,13.955454,12.835122,13.008188,11.193663,12.379506,12.056315,12.037798,12.077809,11.818712,11.196361,11.490966,11.49726,11.562286,11.676112,11.672859,11.548803,10.982417,10.99162,10.831704,10.616716,10.435406,10.253983,10.282764,10.106624,9.897546,9.654844,9.612954,9.561084,9.483665,9.523254,9.503141,9.402184,9.388101,9.122932,9.116623,8.883178,8.914454,0.0
6,6,254,11750000000.000082,0.12137013752702984,0.12136868334220048,3.5422007738569485,5.262942519542241,-2.626090868885804,-1.0,-0.973891,12.311708,20.29137,20.059921,19.815561,16.724506,17.442009,16.073923,15.937424,12.114742,16.303101,15.944807,15.369893,16.004354,15.345236,14.517425,13.736719,13.636348,13.705378,13.304459,13.143673,13.81708,12.72233,12.891655,11.10237,12.268484,11.944243,11.928123,11.956424,11.717176,11.1052,11.399114,11.404008,11.468414,11.567215,11.560746,11.446153,10.895893,10.904071,10.747465,10.535685,10.357002,10.176557,10.204891,10.030676,9.823448,9.582454,9.540879,9.489427,9.412152,9.452285,9.432139,9.330835,9.317588,9.054363,9.04837,8.817641,8.849098,0.0
7,7,255,11750000000.000082,0.12457956373456974,0.12457801804044212,3.5444914456117607,5.253273410345716,-2.5959562205255238,-1.0,-0.97372,12.21986,20.175089,19.961479,19.649139,16.613665,17.295238,15.923922,15.78293,12.023185,16.121698,15.791086,15.224145,15.853525,15.203264,14.394402,13.622726,13.52615,13.590629,13.193615,13.030161,13.688978,12.616815,12.782865,11.016289,12.164203,11.839642,11.825101,11.843231,11.621541,11.019028,11.312382,11.315878,11.378791,11.46469,11.455591,11.349097,10.813772,10.821177,10.667282,10.458265,10.282015,10.101978,10.130238,9.957839,9.752455,9.513157,9.471917,9.420856,9.343711,9.384328,9.364162,9.262469,9.249865,8.988655,8.98292,8.754784,8.786419,0.0
8,8,256,11750000000.000082,0.12798489032804555,0.12798324119541638,3.54692183022207,5.242981335651363,-2.5639498482433787,-1.0,-0.973551,12.123592,20.053711,19.857147,19.4739,16.497381,17.143936,15.770098,15.625157,11.927214,15.936713,15.634369,15.074906,15.699638,15.056389,14.266727,13.504204,13.411142,13.471621,13.078777,12.912255,13.557676,12.507257,12.670099,10.925926,12.055809,11.731211,11.718007,11.726703,11.521543,10.927871,11.220707,11.222905,11.284393,11.357745,11.346022,11.247078,10.727102,10.73373,10.582478,10.376076,10.202269,10.022783,10.051012,9.880446,9.677055,9.439511,9.398661,9.347987,9.27097,9.312066,9.291909,9.189779,9.177901,8.918607,8.91317,8.687786,8.719649,0.0
9,9,257,11750000000.000082,0.1315136555754806,0.1315118926762855,3.5494405787256653,5.232285959011342,-2.5307520066986697,-1.0,-0.973359,12.02464,19.929495,19.74897,19.292576,16.37776,16.990974,15.61544,15.467223,11.828563,15.752401,15.477976,14.925203,15.546017,14.908887,14.136938,13.383478,13.293584,13.350697,12.962261,12.7924,13.425922,12.395876,12.555635,10.832641,11.945498,11.621141,11.609005,11.60916,11.419214,10.833493,11.125853,11.12693,11.187207,11.248546,11.234303,11.142709,10.637568,10.643385,10.494707,10.290783,10.119297,9.94082,9.968911,9.800169,9.598743,9.362985,9.322569,9.272261,9.195366,9.236927,9.216808,9.114161,9.103008,8.845557,8.840458,8.61793,8.650082,0.0
